id,nombre,cientifico,familia,tipo,ciclo,siembra,trasplante,germinacion,temp,prof,dist,luz,riego,ubicacion,stock,lote,vida,responsable,curso,uso,asocia,anti,plagas,reco,notas,pie,organica,propia
,Acelga,Beta vulgaris var. cicla,Amaranthaceae,Hortaliza,Bianual,"mar-may, ago-sep",abr-may,7-14,15-20,1.5,30,Sol,Medio,Est. A2 / Caja 3,8,2024-08,3,Francisco Pinto,,Cosecha continua,zanahoria,,pulgones,Riegos constantes; cortar exterior.,,True,False,True
,Repollo,Brassica oleracea var. capitata,Brassicaceae,Hortaliza,Bianual,"mar-abr, ago-sep","abr-may, sep-oct",5-10,15-20,1.5,50,Sol,Medio,Est. C1 / Caja 2,6,2024-08,2,Ignacio Alfaro,,Formación de cabeza,zanahoria,tomate,polilla,Rotar con no-brassicáceas.,,False,False,True
,Coliflor,Brassica oleracea var. botrytis,Brassicaceae,Hortaliza,Bianual,"mar-abr, ago-sep","abr-may, sep-oct",7-14,15-20,1.5,60,Sol,Medio,Est. C1 / Caja 3,6,2024-08,2,Ignacio Alfaro,,Cabeza compacta,zanahoria,tomate,orugas,Sujetar hojas para blanquear.,,False,False,True
,Brócoli,Brassica oleracea var. italica,Brassicaceae,Hortaliza,Bianual,"mar-abr, ago-sep","abr-may, sep-oct",5-10,15-20,1.5,50,Sol,Medio,Est. C1 / Caja 1,6,2024-08,2,Ignacio Alfaro,,Cosecha por brotes,zanahoria,tomate,polilla,Cosechar central para brotes laterales.,,False,False,True
,Zanahoria,Daucus carota,Apiaceae,Hortaliza,Bianual,"mar-abr, ago-sep",---,10-20,12-18,1,5,Sol,Medio,Exterior / Cantero 3,10,2024-08,3,Francisco Pinto,,Siembra directa,lechuga,papa,mosca de la zanahoria,"Suelo suelto, sin piedras.",,False,True,True
,Betarraga,Beta vulgaris,Amaranthaceae,Hortaliza,Bianual,"mar-abr, ago-sep",---,7-14,15-20,1.5,10,Sol,Medio,Exterior / Cantero 4,8,2024-08,3,,,Raíz de mesa,lechuga,acelga,pulgones,Riego parejo para evitar rajaduras.,,False,True,True
,Rabanito,Raphanus sativus,Brassicaceae,Hortaliza,Anual,"mar-may, ago-sep",---,3-7,12-20,1,8,Sol,Medio,Exterior / Cantero 1,12,2024-08,2,,,Ciclo corto,lechuga,tomate,pulguilla,Ideal para prácticas rápidas.,,True,True,True
,Cebolla,Allium cepa,Amaryllidaceae,Hortaliza,Bianual,abr-may,may-jun,7-14,16-22,1.5,12,Sol,Medio,Est. B1 / Caja 1,10,2024-05,2,,,Formación de bulbo,zanahoria,poroto,trips,No excesos de nitrógeno.,,False,False,True
,Ajo,Allium sativum,Amaryllidaceae,Hortaliza,Anual,abr-may,---,—,—,3,12,Sol,Bajo,Exterior / Cantero 2,12,2024-05,2,,,Dientes en líneas,zanahoria,poroto,trips,Plantación directa de dientes.,,False,True,True
,Arveja,Pisum sativum,Fabaceae,Legumbre/Grano,Anual,jul-ago,ago-sep,7-14,10-18,3,15,Sol,Medio,Exterior / Malla,10,2024-07,2,,,Fijación de N,zanahoria,cebolla,oidio,"Tutores o malla, riego moderado.",,False,False,True
,Haba,Vicia faba,Fabaceae,Legumbre/Grano,Anual,may-jun,---,7-14,8-16,4,25,Sol,Medio,Exterior / Malla,10,2024-05,2,Francisco Pinto,,Invierno-primavera,maíz,cebolla,pulgones,Pellizcar ápice para evitar pulgón.,,False,False,True
,Maíz dulce,Zea mays saccharata,Poaceae,Hortaliza,Anual,oct-nov,---,5-10,20-26,3,30,Sol,Medio,Exterior / Lomo alto,8,2024-10,2,,,Polinización en bloque,poroto,tomate,orugas,Sembrar en cuadros para mejor polinización.,,False,False,True
,Cilantro,Coriandrum sativum,Apiaceae,Hierba/Aromática,Anual,"mar-may, ago-sep",---,7-10,14-20,1,15,Sol,Medio,Est. A2 / Caja 5,8,2024-08,2,,,Asociación con hortalizas,lechuga,tomate,pulgones,Siembras escalonadas.,,True,True,True
,Perejil,Petroselinum crispum,Apiaceae,Hierba/Aromática,Bianual,"mar-abr, ago-sep",---,14-21,16-22,0.8,20,Semisombra,Medio,Est. A2 / Caja 6,6,2024-08,2,,,Cosecha por corte,lechuga,,pulgones,Remojar semillas para acelerar germinación.,,True,True,True
,Orégano,Origanum vulgare,Lamiaceae,Hierba/Aromática,Perenne,sep-oct,oct-nov,10-20,18-22,0.5,30,Sol,Bajo,Est. A3 / Maceta,4,2024-09,3,,,Atrae polinizadores,tomate,,—,"Sustrato drenante, poco riego.",,True,True,True
,Poroto verde,Phaseolus vulgaris,Fabaceae,Legumbre/Grano,Anual,oct-nov,---,7-14,18-24,3,15,Sol,Medio,Exterior / Tutor,10,2024-10,2,,,Cosecha en verde,maíz,cebolla,cortadores,Tutor o guía; riegos regulares.,,False,False,True
,Apio,Apium graveolens,Apiaceae,Hortaliza,Bianual,sep-oct,nov,14-21,18-22,0.5,25,Semisombra,Alto,Est. A1 / Bandeja,6,2024-09,2,,,Hojas y pencas,zanahoria,perejil,caracoles,Necesita humedad constante.,,True,False,False
,Col rizada (Kale),Brassica oleracea var. sabellica,Brassicaceae,Hortaliza,Bianual,"mar-abr, ago-sep","abr-may, sep-oct",7-14,15-20,1,40,Sol,Medio,Est. C1 / Caja 4,6,2024-08,2,,,Cosecha por hojas,zanahoria,tomate,orugas,"Resistente a frío, dulce tras heladas.",,True,False,True
